trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.43199999999999994, 'e': 0.50661699236558955}",25,0,-75.90346269430349,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
137,False,"{'a': 0.43149999999999994, 'e': 0.50409022957482552}",25,0,-55.35307327803107,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
138,False,"{'a': 0.43099999999999994, 'e': 0.50157606906605545}",25,0,-35.22078785024387,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
139,False,"{'a': 0.43049999999999994, 'e': 0.49907444798513595}",20,8,-1.0641023568908956,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
140,False,"{'a': 0.42999999999999994, 'e': 0.49658530379140947}",20,7,11.714701150938186,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.42949999999999994, 'e': 0.49410857425614169}",20,11,9.386855918684201,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.42899999999999994, 'e': 0.4916441974609651}",25,0,13.824847478925076,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.42849999999999994, 'e': 0.48919211179633154}",30,12,16.33894683001816,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.42799999999999994, 'e': 0.48675225595997168}",20,0,-5.761028602185147,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.42749999999999994, 'e': 0.48432456895536247}",20,11,-29.857491852254075,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.42699999999999994, 'e': 0.48190899009020244}",30,15,21.515038114028858,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.42649999999999993, 'e': 0.47950545897489411}",25,5,-103.62965601732554,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
148,False,"{'a': 0.42599999999999993, 'e': 0.47711391552103438}",30,0,-57.214118587387794,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
149,False,"{'a': 0.42549999999999993, 'e': 0.4747342999399124}",25,0,-32.55291830705923,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
150,False,"{'a': 0.42499999999999993, 'e': 0.47236655274101469}",25,13,8.328619393903208,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.42449999999999993, 'e': 0.47001061473053796}",20,5,-20.623455737607927,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.42399999999999993, 'e': 0.46766642700990924}",25,8,-29.2194408964571,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.42349999999999993, 'e': 0.46533393097431341}",20,0,7.96677971341697,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.42299999999999993, 'e': 0.46301306831122807}",35,13,-14.48812749259206,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
155,False,"{'a': 0.42249999999999993, 'e': 0.46070378099896581}",20,0,-30.995303463763683,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
156,False,"{'a': 0.42199999999999993, 'e': 0.45840601130522352}",30,19,8.985658749691236,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.42149999999999993, 'e': 0.45611970178563921}",30,0,-125.36109577904526,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
158,False,"{'a': 0.42099999999999993, 'e': 0.45384479528235583}",25,8,-6.4991166661125375,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.42049999999999993, 'e': 0.45158123492259222}",20,8,-33.79667234353283,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
